BOR;AN;FI;GRP;FI_EJ;REG;DEP;TSANT;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;VAGUE;NAT;SIR;RS;COMPRS;NUMVOI;TYPVOI;ADRVOIENOM;COMPDist;ADRBP;ADRCPOST;ADRLIBCOM;COMINSEE;NUMTEL;ARM
IDB;2013;170017693;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600049;CMP/CATTP ST-MARTIN DE RE;;;R;DE L'HOPITAL;;;17410;ST MARTIN DE RE;17369;;
IDB;2013;170017701;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600411;CMP - CATTP - CAMPEA SURGERES;;30;R;PAUL ROUVIER;;;17700;SURGERES;17434;;
IDB;2013;170017727;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600387;CMP/CATTP MARANS;;35;AV;DU GENERAL DE GAULLE;;;17230;MARANS;17218;;
IDB;2013;170017750;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600247;CSJ DELACROIX - CMP - CATTP;;1;R;PAUL GAUGUIN;;LES CRAPAUDIERES;17000;LA ROCHELLE;17300;;
IDB;2013;170017776;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600395;CMP/CATTP OLERON;;;R;CARINENA;;L'ESTRAN;17310;ST PIERRE D OLERON;17385;;
IDB;2013;170017784;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600379;CMP/CATTP MARENNES;;;R;DU DOCTEUR ROUX;;LE CAP;17320;MARENNES;17219;;
IDB;2013;170017800;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600304;CMP/CATTP LE PAVOIS;;;AV;DE BELIGON;;;17300;ROCHEFORT;17299;;
IDB;2013;170017826;24;170023279;54;17;54S0000002;13;1;444;PLU10;1;0;;0;0;20002986600056;CMP/CATTP LE BELEM;;;ALL;DES COMBES;;;17440;AYTRE;17028;;
IDB;2013;170017834;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600262;CMP INTERMEDE;;;BD;JOFFRE;;;17000;LA ROCHELLE;17300;;
IDB;2013;170017842;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600296;C.A.M.P.E.A. (CH LR);;1;R;DU DOCTEUR PAUL PELTIER;;;17300;ROCHEFORT;17299;;
IDB;2013;170017867;24;170023279;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;20002986600239;CAMPEA MIREUIL;;2;AV;LUXEMBOURG;APPT 4 - PORTE L - BT 9;;17000;LA ROCHELLE;17300;;
IDB;2013;170017875;24;170023279;54;17;54S0000002;13;1;425;PLU10;1;0;;0;0;20002986600080;CATTP PEDO-PSY VILLE;;10;R;ALPHONSE BAUDIN;;VILLENEUVE LES SALINES;17000;LA ROCHELLE;17300;;
IDB;2013;170017917;24;170780175;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170002500255;CAMPE (CH DE SAINTONGE);;15;R;DE L'ALMA;;;17100;SAINTES;17415;;
IDB;2013;170017925;24;170780175;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;26170002500248;CAMPE (CH DE SAINTONGE);;;R;DE LA TORSE;;;17310;ST PIERRE D OLERON;17385;;
IDB;2013;170017933;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200097;C.M.P. - E.S.P.A.S. (CH JONZAC);;48;AV;DE LA GRANDE CONCHE;;;17200;ROYAN;17306;;
IDB;2013;170017966;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200113;C. M. P. VAUX/MER (CH JONZAC);;;CTRE;HOSPITALIER;;BP 217 C;17205;ROYAN CEDEX;17306;;
IDB;2013;170018006;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200139;C. M. P. LA PASSERELLE (CH JONZAC);;18;R;FELIX FAURE;;;17500;JONZAC;17197;;
IDB;2013;170018014;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200295;C. M. P. (CH JONZAC);;;R;GABRIEL PERRIER;;;17800;PONS;17283;;
IDB;2013;170018022;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200154;C.M.P. - C.A.M.P.E. (CH JONZAC);;17;R;NATIONALE;;;17270;MONTGUYON;17241;;
IDB;2013;170018030;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200162;C. M. P. (CH JONZAC);;17;RTE;DE ROYAN;;;17130;MONTENDRE;17240;;
IDB;2013;170018055;24;170780050;54;17;54S0000003;13;1;425;PLU10;1;0;;0;0;26170027200261;C.A.T.T.P. LA PASSERELLE (CH JONZAC);;18;R;FELIX FAURE;;;17500;JONZAC;17197;;
IDB;2013;170020945;24;170780050;54;17;54S0000003;13;1;355;PLU10;1;0;;0;0;26170027200253;APPT. RELAIS ODYSSEE (CH JONZAC);;73;AV;DE PONTAILLAC;;;17200;ROYAN;17306;;
IDB;2013;170020952;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200246;CTRE SOINS AMBUL LA PASSERELLE;;18;R;FELIX FAURE;;;17500;JONZAC;17197;;
IDB;2013;170020960;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200238;C. M. P. (CH JONZAC);;15;R;DU MARECHAL FOCH;;;17260;GEMOZAC;17172;;
IDB;2013;170020978;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200220;C. M. P. (CH JONZAC);;1;RTE;DU CHAY;;;17600;SAUJON;17421;;
IDB;2013;170020986;24;170780175;54;17;54S0000003;13;1;355;PLU10;1;0;;0;0;26170002500313;C.M.P. + HOP DE JOUR PSY ADULT - S4;;40;R;COMPORTE;;;17400;ST JEAN D ANGELY;17347;;
IDB;2013;170021778;24;170780175;54;17;54S0000003;13;1;355;PLU10;1;0;;0;0;26170002500115;HOP. DE JOUR PEDOPSYCHIATRIE;;28;R;DES JACOBINS;;;17100;SAINTES;17415;;
IDB;2013;170022057;02;;54;17;;29;;999;;1;3;;2;1;;GCS URGENCES DU PAYS ROYANNAIS;;;;DE SAINT SORDELIN;;;17640;VAUX SUR MER;17461;;
IDB;2013;170022735;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200329;CTRE MEDICO-PSYCHOLOGIQUE;;22;R;DU BOIS DU FOUILLOUX;;;17530;ARVERT;17021;;
IDB;2013;170022743;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200311;CTRE MEDICO-PSYCHOLOGIQUE;;1;ALL;DES SOUPIRS;;;17120;COZES;17131;;
IDB;2013;170022867;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200303;C.M.P. - UPADO - CH JONZAC;;66;AV;DANIEL HEDDE;RESIDENCE L'ESCALE;;17200;ROYAN;17306;;
IDB;2013;170023253;24;170780175;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170002500354;CMP CAPADO (CH SAINTONGE);;16;R;SAINT EUTROPE;;;17100;SAINTES;17415;;
IDB;2013;170023279;02;;54;17;;13;;355;;1;0;;2;1;;GROUPE HOSP. DE LA ROCHELLE-RE-AUNIS;;;;DU DOCTEUR SCHWEITZER;;;17019;LA ROCHELLE CEDEX 1;17300;;
IDB;2013;170780050;02;;54;17;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE JONZAC;;;;WINSTON CHURCHILL;;BP 109;17503;JONZAC CEDEX;17197;0546487575;
IDB;2013;170780118;02;;54;17;;11;;355;;1;0;;1;1;;MAISON REPOS CONVALESC MARLONGES;;;;DE LA GROSSE MOTTE;CHATEAU DE MARLONGES;;17290;CHAMBON;17080;0546274848;
IDB;2013;170780142;02;;54;17;;13;;106;;1;0;;1;1;;HOPITAL LOCAL ST PIERRE OLERON;;;;CARINENA;;B. P. 20;17310;ST PIERRE D OLERON;17385;0546763100;
IDB;2013;170780167;02;;54;17;;13;;355;;1;0;;1;1;;C.H. DE SAINT-JEAN D'ANGELY;;;;DU PORT;;B.P. 93;17415;ST JEAN D ANGELY CEDEX;17347;0546595050;
IDB;2013;170780175;02;;54;17;;13;;355;;1;0;;1;1;;CTRE HOSP. DE SAINTONGE - SAINTES;;;;AMBROISE PARE;;B. P. 10326;17108;SAINTES CEDEX;17415;0546951515;
IDB;2013;170780191;02;;54;17;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE ROYAN;;;;;;B. P. 217;17205;ROYAN CEDEX;17306;0546395252;
IDB;2013;170780209;02;;54;17;;13;;106;;1;0;;1;1;;H.L. DUBOIS MEYNARDIE MARENNES;;;;DU MARECHAL LECLERC;;B. P. 80;17320;MARENNES;17219;0546850138;
IDB;2013;170780225;02;;54;17;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER ROCHEFORT;;;;BELIGON;;B. P. 30009;17301;ROCHEFORT CEDEX;17299;0546822020;
IDB;2013;170780266;02;;54;17;;11;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE BOSCAMNANT;;;;LES BRUYERES;;;17360;BOSCAMNANT;17055;0546865000;
IDB;2013;170784532;24;170780175;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170002500131;CMP SAINTES - S5 (CH SAINTONGE);;116;CRS;PAUL DOUMER;;;17108;SAINTES CEDEX;17415;;
IDB;2013;170784805;24;170780175;54;17;54S0000002;13;1;156;PLU10;1;0;;0;0;26170002500198;CAMPE (CH DE SAINTONGE);;;PL;CHASSELOUP LAUBAT;;;17320;MARENNES;17219;;
IDB;2013;170784839;24;170780050;54;17;54S0000003;13;1;156;PLU10;1;0;;0;0;26170027200048;CMP - UPIJ (CH JONZAC);;11;R;DES POILUS;;;17500;JONZAC;17197;;
IDB;2013;170784847;24;170780050;54;17;54S0000003;13;1;425;PLU10;1;0;;0;0;26170027200188;C.A.T.T.P. - U. P. I. J. (CH JONZAC);;1;AV;DU NID D'AIGLE;;;17200;ROYAN;17306;;
IDB;2013;170785661;24;170780175;54;17;54S0000003;13;1;355;PLU10;1;0;;0;0;26170002500362;H JOUR + CAMPE + CASPA (CH SAINTONGE);;6;R;JELU;;;17400;ST JEAN D ANGELY;17347;;
IDB;2013;170786388;24;170023279;54;17;54S0000002;13;1;355;PLU10;1;0;;0;0;20002986600270;HOP. DE JOUR U.P.E.A. (CH LR) 17I01;;16;R;DU DOCTEUR PELTIER;UNITE DE JOUR PEDOPSYCHIATRIE;;17300;ROCHEFORT;17299;;
IDB;2013;170795140;24;170780175;54;17;54S0000003;13;1;425;PLU10;1;0;;0;0;26170002500263;C.A.T.T.P. (CH SAINTONGE);;8;R;MICHEL TEXIER;;;17400;ST JEAN D ANGELY;17347;;
IDB;2013;180000028;02;;24;18;;13;;355;;1;0;;2;1;;CH JACQUES COEUR  DE BOURGES;;;;FRANCOIS MITTERRAND;;;18000;BOURGES;18033;0248484848;
IDB;2013;180000051;02;;24;18;;13;;355;;1;0;;1;1;;CH DE VIERZON;;;;LEO MERIGOT;;;18102;VIERZON CEDEX;18279;0248523333;
IDB;2013;180000069;02;;24;18;;13;;355;;1;0;;1;1;;CH DE SAINT AMAND-MONTROND;;;;JEAN JAURES;;BP 180;18206;ST AMAND MONTROND CEDEX;18197;0248632525;
IDB;2013;180000093;02;;24;18;;13;;106;;1;0;;1;1;;CH DE SANCERRE;;;;DES AUGUSTINS;;BP 22;18300;SANCERRE;18241;0248785200;
IDB;2013;180000184;24;180001158;24;18;24S0000001;14;1;292;PLU10;1;0;;0;0;26180365400027;CH GEORGE SAND CHEZAL BENOIT;;;R;DE L'EGLISE;;;18160;CHEZAL BENOIT;18065;;
IDB;2013;180000820;24;180001158;24;18;24S0000001;14;1;292;PLU10;1;0;;0;0;26180365400035;CH  DE DUN SUR AURON;;8;R;DE L'ERMITAGE;;;18130;DUN SUR AURON;18087;;
IDB;2013;180001158;02;;24;18;;14;;292;;1;0;;1;1;;CH GEORGES SAND E.P.S.I.C. DU CHER;;;;LOUIS MALLET;;BP 6050;18024;BOURGES CEDEX;18033;0248672000;
IDB;2013;190000042;02;;74;19;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DUBOIS BRIVE;;;;DR VERLHAC;;BP 432;19312;BRIVE LA GAILLARDE CEDEX;19031;0555926000;
IDB;2013;190000059;02;;74;19;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER DE TULLE;;;;DU DOCTEUR MASCHAT;;BP 160;19012;TULLE CEDEX;19272;0555297900;
IDB;2013;190000067;02;;74;19;;13;;106;;1;0;;1;1;;HOPITAL LOCAL BORT-LES-ORGUES;;;;GUSTAVE PARRE;;;19110;BORT LES ORGUES;19028;0555463333;
IDB;2013;190000075;02;;74;19;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER D'USSEL;;;;DOCTEUR ROULLET;;BP 55;19208;USSEL CEDEX;19275;0555964000;
IDB;2013;190000125;25;190000117;74;19;74S0000001;60;3;430;PLU10;6;1;;0;0;;CENTRE DANIEL HOUGARD;FOYER DE POST-CURE;61;AV;JEAN JAURES;;;19100;BRIVE LA GAILLARDE;19031;;
IDB;2013;190000711;25;190000117;74;19;74S0000001;60;3;292;PLU10;6;1;;0;0;77556684700023;CTRE HOSPITALIER PAYS EYGURANDE;;;;;;LA CELLETTE;19340;MONESTIER MERLINES;19141;0555943207;
IDB;2013;190001396;25;190000117;74;19;74S0000001;60;3;156;PLU10;6;1;;0;0;77556684700098;CENTRE MEDICO PSYCHOLOGIQUE;;28;IMP;JEAN JAURES;;;19200;USSEL;19275;0555724600;
IDB;2013;190002485;02;;74;19;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER GERIATRIQUE UZERCHE;;;;RAYMOND SIDOIS;;BP 7;19140;UZERCHE;19276;0555971600;
IDB;2013;190002519;02;;74;19;;11;;355;;1;0;;1;1;;EHPAD DE CORNIL;;;;;;RABÈS;19150;CORNIL;19061;0555936900;
IDB;2013;190004507;24;190000042;74;19;74S0000001;13;1;156;PLU10;1;0;;0;0;26190310800148;CENTRE MEDICO PSYCHOLOGIQUE;;24;R;DU DOCTEUR ROUX;;;19100;BRIVE LA GAILLARDE;19031;;
IDB;2013;190004796;25;190000117;74;19;74S0000001;60;3;412;PLU10;6;1;;0;0;77556684700056;APPART THER  LES ROUCHAUDS;;5;RTE;DE SAVENNES;;;19340;MERLINES;19134;;
IDB;2013;190005199;24;190000042;74;19;74S0000001;13;1;355;PLU10;1;0;;0;0;26190310800098;UNITE SCOLAIRE THERAPEUTIQUE;;26;AV;GUYNEMER;ECOLE HENRI GERARD;;19100;BRIVE LA GAILLARDE;19031;;
IDB;2013;190005975;25;190000117;74;19;74S0000001;60;3;412;PLU10;6;1;;0;0;77556684700064;APPARTEMENT THERAP  LE CANTOU;;;;;;;19340;MERLINES;19134;;
IDB;2013;190005983;25;190000117;74;19;74S0000001;60;3;412;PLU10;6;1;;0;0;77556684700114;APPARTEMENT THERAPEUTIQUE L'ESCALE;;;R;DES AUBAZINES;;;19360;MALEMORT SUR CORREZE;19123;;
IDB;2013;190009639;25;190000117;74;19;74S0000001;60;3;292;PLU10;6;1;;0;0;;HOPITAL DE JOUR EN ALCOOLOGIE;;28;AV;JEAN JAURES;;;19200;USSEL;19275;;
IDB;2013;190009944;24;190000042;74;19;74S0000001;13;1;425;PLU10;1;0;;0;0;26190310800122;CATTP DE CORREZE;UN DEUX TROIS SOLEIL;;;LA QUEYRIE;;;19800;CORREZE;19062;;
IDB;2013;190009985;25;190000117;74;19;74S0000001;60;3;292;PLU10;6;1;;0;0;77556684700080;UNITE DE SOINS GERONTO-PSY;;;;L'ABEILLE;;;19340;MONESTIER MERLINES;19141;;
IDB;2013;190010595;25;190000117;74;19;74S0000001;60;3;425;PLU10;6;1;;0;0;77556684700098;CATTP;;28;IMP;JEAN JAURES;;;19200;USSEL;19275;0555962556;
IDB;2013;190010603;24;190000075;74;19;74S0000001;13;1;425;PLU10;1;0;;0;0;26192750300068;CATTP DE BORT;;8;R;DES TUILERIES;;;19110;BORT LES ORGUES;19028;;
IDB;2013;190011155;25;190000117;74;19;74S0000001;60;3;156;PLU10;6;1;;0;0;77556684700106;CENTRE MEDICO PSYCHOLOGIQUE;;1;AV;PIERRE SEMARD;;;19340;MERLINES;19134;0555948456;
IDB;2013;190011163;25;190000117;74;19;74S0000001;60;3;425;PLU10;6;1;;0;0;77556684700106;CATTP;;11;AV;PIERRE SEMARD;;;19340;MERLINES;19134;0555948329;
IDB;2013;190011684;25;190000117;74;19;74S0000001;60;3;292;PLU10;6;1;;0;0;;UNITE DE SOINS L'ATRIUM;;;;;;L'ABEILLE;19340;MONESTIER MERLINES;19141;;
IDB;2013;210002028;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CENTRE MEDICO PSYCHOLOGIQUE;;4;R;QUETIGNEROT;;;21800;QUETIGNY;21515;;
IDB;2013;210002069;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CMP BEAUNE;;60;R;DU FAUBOURG MADELEINE;;;21200;BEAUNE;21054;;
IDB;2013;210002119;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CATTP CENTRE DE JOUR UPSILON;;31;R;SAMBIN;;;21000;DIJON;21231;;
IDB;2013;210002168;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CENTRE DE JOUR BACHELARD;;2;ALL;DE BEAUCE;;;21000;DIJON;21231;;
IDB;2013;210002218;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CATTP ICARE;;5;R;BUFFON;;;21800;CHEVIGNY ST SAUVEUR;21171;;
IDB;2013;210002259;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;ATELIER THERAPEUTIQUE ARDOR;;47;R;DE JOUVENCE;;;21000;DIJON;21231;;
IDB;2013;210005708;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CATTP CHS LA CHARTREUS LUCIE-EN-CAROIS;;1;R;DE DIJON;;;21121;FONTAINE LES DIJON;21278;;
IDB;2013;210007431;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800069;CMP CENTRE DE JOUR BEAUCE EN VERGY;;30;AV;MARÉCHAL LYAUTEY;;;21000;DIJON;21231;;
IDB;2013;210007456;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800077;LA FONTAINE AUX BERLINGOTS;;2   B;R;EN TREPPEY;;;21000;DIJON;21231;;
IDB;2013;210007571;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CENTRE DE JOUR -ARLEQUIN-;;2;R;HENRI DUNANT;;;21200;BEAUNE;21054;;
IDB;2013;210008512;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CMP CENTRE DE JOUR;LES COTEAUX DU SUZON;8;AV;DE LA CONCORDE;;;21000;DIJON;21231;;
IDB;2013;210010070;02;;26;21;;14;;355;;1;0;;2;1;;CH INTERCOMMUNAL CHATILLON MONTBARD;;;;AUGUSTE CARRÉ;;B.P. 80;21506;MONTBARD CEDEX;21425;0380897300;
IDB;2013;210010567;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800168;CENTRE DE JOUR PEDOPSY. LES RONDEAUX;;;R;JEAN GIONO;;;21000;DIJON;21231;;
IDB;2013;210010591;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800150;CMP/CATTP/HDJ LAMARTINE;;;R;DU 8 MAI 1945;;;21250;SEURRE;21607;;
IDB;2013;210010617;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800143;CENTRE DE JOUR CHATEAU PROST;;;R;DU CHATEAU;;;21130;AUXONNE;21038;;
IDB;2013;210010625;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800135;CMP CENTRE DE JOUR CARNOT;;9;BD;CARNOT;;;21000;DIJON;21231;;
IDB;2013;210010633;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800085;CMP CENTRE DE JOUR VILLA DES PERRIERES;;37;BD;DE L'OUEST;;;21000;DIJON;21231;;
IDB;2013;210010641;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800093;CMP CENTRE DE JOUR MARCO CAVALLO;;2   B;RTE;DE DIJON;;;21600;LONGVIC;21355;;
IDB;2013;210010666;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800101;CMP CENTRE DE JOUR;;60;AV;DU 14 JUILLET;;;21300;CHENOVE;21166;;
IDB;2013;210010690;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210006800127;CENTRE MEDICO PSYCHOLOGIQUE DE JOUR;;30;AV;DU DE GAULLE;;;21110;GENLIS;21292;;
IDB;2013;210010773;08;;26;21;;79;;698;;0;9;;1;1;;SCM DRS ALTWEGG, BONE-LEPINOY, JANORAY;CTRE D'ONCOLOGIE RADIOTHÉRAPIE;;;DU GÉNÉRAL DE GAULLE;;;21000;DIJON;21231;0380673010;
IDB;2013;210011482;02;;26;21;;14;;355;;1;0;;2;1;;C H AUXOIS MORVAN;CHAM;;;GUENIOT;;;21350;VITTEAUX;21710;;
IDB;2013;210780417;08;;26;21;;61;;131;;6;1;;2;1;;CRLCC GEORGES-FRANCOIS LECLERC;;;;DU PROFESSEUR MARION;;B.P. 77980;21079;DIJON CEDEX;21231;0380737500;
IDB;2013;210780581;02;;26;21;;13;;101;;1;0;;2;1;;CHU DE DIJON;;;;MAL DE LATTRE DE TASSIGNY;BP 1542;;21034;DIJON CEDEX;21231;0380293031;
IDB;2013;210780607;02;;26;21;;11;;292;;1;0;;1;1;;CH LA CHARTREUSE;LA CHARTREUSE;;;DU CHANOINE KIR;;BP 1514;21033;DIJON CEDEX;21231;0380424801;
IDB;2013;210780623;02;;26;21;;13;;106;;1;0;;1;1;;CH D'ARNAY-LE-DUC;;;;DES CAPUCINS;;;21230;ARNAY LE DUC;21023;0380902800;
IDB;2013;210780631;02;;26;21;;13;;106;;1;0;;1;1;;CH D'IS SUR TILLE;;;;VICTOR HUGO;;;21120;IS SUR TILLE;21317;0380956262;
IDB;2013;210780649;02;;26;21;;13;;106;;1;0;;1;1;;CH DE NUITS SAINT GEORGES;;;;HENRI CHALLAND;;;21700;NUITS ST GEORGES;21464;0380626700;
IDB;2013;210780656;02;;26;21;;13;;106;;1;0;;1;1;;CH DE SEURRE;;;;ST GEORGES;;;21250;SEURRE;21607;0380203919;
IDB;2013;210780672;02;;26;21;;13;;106;;1;0;;1;1;;CH D'AUXONNE;;;;DU CHATEAU;;;21130;AUXONNE;21038;0380483300;
IDB;2013;210780706;02;;26;21;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER ROBERT MORLEVAT;;;;PASTEUR;;;21140;SEMUR EN AUXOIS;21603;0380896402;
IDB;2013;210780714;02;;26;21;;13;;355;;1;0;;1;1;;CH DE BEAUNE;;;;GUIGONE DE SALINS;;BP 104;21203;BEAUNE CEDEX;21054;0380244444;
IDB;2013;210981809;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;;CATTP LA CHARTREUSE MAISON MATISSE;;9;R;CONFRERIE;;;21121;FONTAINE LES DIJON;21278;;
IDB;2013;210985214;24;210780607;26;21;26S0000001;11;1;415;PLU10;1;0;;0;0;26210006800010;SERVICE MÉDICO PSYCHOLOGIQUE RÉGIONAL;;72;R;D'AUXONNE;MAISON D'ARRET;;21000;DIJON;21231;;
IDB;2013;210986204;24;210780607;26;21;26S0000001;11;1;292;PLU10;1;0;;0;0;26210003500050;CENTRE DE GUIDANCE INFANTILE CH BEAUNE;;;R;JEAN BELIN;;;21200;BEAUNE;21054;;
IDB;2013;220000020;02;;53;22;;13;;355;;1;0;;2;1;;CENTRE HOSPITALIER DE SAINT BRIEUC;;;;MARCEL PROUST;;;22023;ST BRIEUC CEDEX 1;22278;0296017123;
IDB;2013;220000046;02;;53;22;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER RENE PLEVEN;;;;CHATEAUBRIAND;;B.P 91056;22101;DINAN CEDEX;22050;0296857285;
IDB;2013;220000079;02;;53;22;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER GUINGAMP;;;;DE L'ARMOR;;;22200;GUINGAMP;22070;0296445656;
IDB;2013;220000103;02;;53;22;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER LANNION;PIERRE LE DAMANY;;;KERGOMAR;;BP 70348;22303;LANNION CEDEX;22113;0296056565;
IDB;2013;220000152;02;;53;22;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER PAIMPOL;;;;DE MALABRY;;B.P 91;22501;PAIMPOL CEDEX;22162;0296556000;
IDB;2013;220000186;02;;53;22;;13;;106;;1;0;;1;1;;CENTRE HOSPITALIER QUINTIN;;;;DES CARMES;;BP 139;22800;QUINTIN;22262;0296796666;
IDB;2013;220000608;25;220000210;53;22;53S0000007;63;3;292;PLU10;6;1;;0;0;38794479600011;C.H.S. BEGARD;;1;R;BON SAUVEUR;;B.P 01;22140;BEGARD;22004;0296452010;
IDB;2013;220000616;25;750052037;53;22;53S0000006;63;3;292;PLU10;6;1;;0;0;33843952400012;C.H.S. DE LEHON;;;AV;SAINT JEAN DE DIEU;;B.P. 81055;22101;DINAN CEDEX;22050;0296871800;
IDB;2013;220005029;25;750052037;53;22;53S0000007;63;3;292;PLU10;6;1;;0;0;75331332900058;HÔPITAL DE JOUR LA GUERANDE;;7;R;JEAN XXIII;;;22000;ST BRIEUC;22278;;
IDB;2013;220005045;02;;53;22;;13;;355;;1;0;;1;1;;CENTRE HOSPITALIER TREGUIER;;;;TOUR SAINT MICHEL;;BP 81;22220;TREGUIER;22362;0296921007;
IDB;2013;220005672;25;220000210;53;22;53S0000007;63;3;292;PLU10;6;1;;0;0;38794479600110;HOPITAL DE JOUR ADULTES;;7;R;ANATOLE LE BRAZ;;;22200;GUINGAMP;22070;0296441012;
IDB;2013;220012769;25;750052037;53;22;53S0000007;63;3;292;PLU10;6;1;;0;0;33843952400103;MAISON DE JOUR INFANTO JUVENILE;MAISON DU JOUR MAISON DES PETITS;8;BD;HOCHE;;;22000;ST BRIEUC;22278;;
IDB;2013;220012900;35;220017974;53;22;53S0000008;60;3;292;PLU10;6;1;;0;0;40094447600094;HOPITAL DE JOUR;;38;R;DE MONCONTOUR;;;22600;LOUDEAC;22136;;
IDB;2013;220013056;25;220000210;53;22;53S0000007;63;3;292;PLU10;6;1;;0;0;38794479600060;MAISON DU JOUR POUR ENFANTS;;29;R;SAINT JEAN;;;22200;GRACES;22070;0296444840;
IDB;2013;220013668;25;750052037;53;22;53S0000007;63;3;156;PLU10;6;1;;0;0;33843952400129;CTRE MEDICO PSYCHO POUR ENFANTS ET ADO;;29;R;PAUL LANGEVIN;;;22400;LAMBALLE;22093;0296347133;
IDB;2013;220014336;25;750052037;53;22;53S0000007;63;3;292;PLU10;6;1;;0;0;33843952400053;CMP/CATTP;;12;R;DES BUIS;;;22130;PLANCOET;22093;0296841979;
IDB;2013;220014351;25;750052037;53;22;53S0000006;63;3;156;PLU10;6;1;;0;0;75331332900215;CENTRE MEDICO-PSYCHOLOGIQUE;;117;R;DE BREST;;;22100;DINAN;22050;;
IDB;2013;220014914;35;220017974;53;22;53S0000008;60;3;292;PLU10;6;1;;0;0;40094447600060;CMP / CATTP/ CMPS;;32;R;DE LA CHEZE;;;22600;LOUDEAC;22136;;
