BOR;AN;FI;RS;RSCOM;FI_EJ;GRP;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;NAT;SIR;REG;DEP;TSANT;COM;NOMCOM;ARM;CHLEJ0;FIPRE;ETAT_SAISIE;FINRAT;VAGUE;PROVENANCE;NUMVOI;TYPVOI;NOMVOI;BP;CPO;LIBCOM;COMPD;FILIALE0;SIRTET;RSTET;FIAUT1;RSAUT1;FIAUT2;RSAUT2;FIAUT3;RSAUT3;FIAUT4;RSAUT4;FIAUT5;RSAUT5;FIAUT6;RSAUT6;FIAUT7;RSAUT7;DADS_C1;DADS_C2;DADS_C3;DADS_C4;DADS_D1;MODEJ;TYPMD1;TYPMD2;TYPMD3;FIFU1;FIFU2;FIFU3;SCFU1;SCFU2;SCFU3
ID;2013;170803431;Clinique Cardiocean;;750043994;09;75;2;109;PLU10;0;4;5;0;30116075000503;54;17;54S0000002;17291;PUILBOREAU;;0;;6;;1;1;25;ALLEE;LA TOURTILLIERE;B. P. 26;17138;PUILBOREAU;;1;401251566;ORPEA;;;;;;;;;;;;;;;;30116075000503;;;;0;;;;;;;;;
ID;2013;170804090;A.D.A. 17;Unité d'Autodialyse Assistée de ST PIERRE D'OLERON;170000988;07;60;3;146;PNL5;6;4;1;0;32838702200101;54;17;54S0000002;17385;SAINT-PIERRE-D'OLERON;;0;;7;170000988;1;1;47;LOT;DE LA GRENETTE;;17310;ST PIERRE D'OLERON;;0;;;;;;;;;;;;;;;;;328387022;32838702200085;;;0;0;;;;;;;;;
ID;2013;180000010;HOPITAL JACQUES COEUR - CH BOURGES;;180000028;04;13;1;355;PUB2;1;0;;0;26180007200124;24;18;24S0000001;18033;BOURGES;;0;;7;180000028;2;1;145;AV;F MITTERAND;CS 30 010;18020;BOURGES CEDEX;;;;;;;;;;;;;;;;;;;;26180007200124;;;0;0;;;;;;;;;
ID;2013;180000176;CH GEORGE SAND BOURGES;;180001158;04;14;1;292;PUB3;1;0;;0;26180365400068;24;18;24S0000001;18033;BOURGES;;0;;7;180001158;1;1;77;R;LOUIS MALLET;BP 6050;18024;BOURGES CEDEX;;;;;;;;;;;;;;;;;;;261803654;26180365400019;26180365400027;26180365400035;1;0;;;;;;;;;
ID;2013;180000200;CENTRE HOSPITALIER DE VIERZON;;180000051;04;13;1;355;PUB2;1;0;;0;26180023900012;24;18;24S0000001;18279;VIERZON;;0;;7;180000051;1;1;33;R;LEO MERIGOT;BP 202;18102;VIERZON CEDEX;;;;;;;;;;;;;;;;;;;261800239;26180023900012;26180023900020;26180023900046;0;0;;;;;;;;;
ID;2013;180000283;CH SAINT AMAND-MONTROND;;180000069;04;13;1;355;PUB2;1;0;;0;26180018900019;24;18;24S0000001;18197;SAINT-AMAND-MONTROND;;0;;7;180000069;1;1;44;AV;JEAN JAURES;BP 80180;18206;ST AMAND MONTROND Cedex;;;;;;;;;;;;;;;;;;;261800189;;;;0;0;;;;;;;;;
ID;2013;180000333;CH SANCERRE;;180000093;04;13;1;106;PUB2;1;0;;0;26180020500013;24;18;24S0000001;18241;SANCERRE;;0;;7;180000093;1;1;;REM;DES AUGUSTINS;BP 22;18300;SANCERRE;;;;;;;;;;;;;;;;;;;261800205;26180020500013;;;0;0;;;;;;;;;
ID;2013;180000358;CLINIQUE DES GRAINETIERES;;180000739;09;75;2;128;PLU4;0;4;5;0;37778838500021;24;18;24S0000001;18197;SAINT-AMAND-MONTROND;;0;;6;;2;1;;PL;DE JUILLET;BP 183;18206;ST AMAND MONTROND CEDEX;;;;;;;;;;;;;;;;;;;377788385;37778838500021;;;0;0;;;;;;;;;
ID;2013;180000382;SAS CLINIQUE -LA GAILLARDIERE-;;180008518;15;75;2;161;PLU7;0;5;5;0;39479811000018;24;18;24S0000001;18279;VIERZON;;0;;6;;1;1;;CHE;DE LA GAILLARDIERE;;18100;VIERZON;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;180000598;M. R. ET C. -LE BLAUDY-;;180000887;09;73;2;109;PLU10;0;4;5;0;65372046600032;24;18;24S0000001;18205;SAINT-DOULCHARD;;0;;6;;1;2;251;RTE;DE VARYE;;18230;ST DOULCHARD;;1;498807619;Groupe Vitalia;;;;;;;;;;;;;;;;65372046600024;;;0;0;;;;;;;;;
ID;2013;180003287;SSR TAILLEGRAIN - CH BOURGES;;180000028;04;13;1;355;PUB2;1;0;;0;26180007200181;24;18;24S0000001;18033;BOURGES;;0;;7;180000028;2;1;6;R;TAILLEGRAIN;;18000;BOURGES;;;;;;;;;;;;;;;;;;;;26180007200124;;;;0;;;;;;;;;
ID;2013;180003345;USSR  LA NOUE - CH DE VIERZON;;180000051;04;13;1;355;PUB2;1;0;;0;26180023900020;24;18;24S0000001;18279;VIERZON;;0;;7;180000051;1;1;83;AV;DU 14 JUILLET;;18100;VIERZON;CHATEAU DE LA NOUE;;;;;;;;;;;;;;;;;;261800239;26180023900012;26180023900020;26180023900046;0;0;;;;;;;;;
ID;2013;180003386;USSR DU CH DE ST- AMAND-MONTROND;;180000069;04;13;1;355;PUB2;1;0;;0;26180018900035;24;18;24S0000001;18197;SAINT-AMAND-MONTROND;;0;;7;180000069;1;1;;R;DE LA CROIX DUCHET;80180;18206;ST AMAND MONTROND Cedex;;;;;;;;;;;;;;;;;;;261800189;;;;0;0;;;;;;;;;
ID;2013;180004145;CLINIQUE -GUILLAUME DE VARYE;;180000887;09;73;2;365;PLU4;0;5;5;0;65372046600024;24;18;24S0000001;18205;SAINT-DOULCHARD;;;;6;;2;2;210;RTE;DE VOUZERON;;18230;ST DOULCHARD;;1;498807619;Groupe Vitalia;180006496;centre de radiotherapie et d'oncologie médicale St;180006660;SELARL Jean de Berry;450014196;Centre d'imagerie Jp BENETON_INOV;180009086;VE3 CI2B;;;;;;;;65372046600024;;;;0;;;;;;;;;
ID;2013;180004533;CHS CTRE READAP.SOCIO-PROFESSIONNEL;;580780971;14;11;1;292;PUB3;1;0;;0;26580003700060;24;18;24S0000001;18240;SANCERGUES;;0;;7;580780971;1;1;;;;;18140;SANCERGUES;CHATEAU D'AUGY;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;180005662;CENTRE D'AUTODIALYSE;CENTRE D'HEMODIALYSE;370001067;07;60;3;146;PNL5;6;4;1;0;30142256400239;24;18;24S0000001;18279;VIERZON;;0;;7;370001067;1;1;5;R;BLANQUI;;18100;VIERZON;;0;;;;;;;;;;;;;;;;;301422564;;;;;0;;;;;;;;;
ID;2013;180005811;CENTRE D'AUTODIALYSE;CENTRE D'AUTODIALYSE;370001067;07;60;3;146;PNL5;6;4;1;0;30142256400114;24;18;24S0000001;18026;BELLEVILLE-SUR-LOIRE;;0;;7;370001067;1;1;;;Jean Moulin;;18240;BELLEVILLE SUR LOIRE;;0;;;;;;;;;;;;;;;;;301422564;;;;;0;;;;;;;;;
ID;2013;180005829;CENTRE D'AUTODIALYSE;CENTRE D'HEMODIALYSE;370001067;07;60;3;146;PNL5;6;4;1;0;30142256400106;24;18;24S0000001;18033;BOURGES;;0;;7;370001067;1;1;151;avenu;MITTERRAND;;18000;BOURGES;;0;;;;;;;;;;;;;;;;;301422564;;;;;0;;;;;;;;;
ID;2013;180006397;CENTRE D'AUTODIALYSE;CENTRE D'HEMODIALYSE;370001067;07;60;3;146;PNL5;6;4;1;0;30142256400163;24;18;24S0000001;18197;SAINT-AMAND-MONTROND;;;;7;370001067;1;1;82;R;JEAN MOULIN;;18200;ST AMAND MONTROND;;;;;;;;;;;;;;;;;;;301422564;;;;0;0;;;;;;;;;
ID;2013;180007825;USLD DU CH DE DUN SUR AURON;;180001158;04;14;1;362;PUB9;1;0;;0;26180365400050;24;18;24S0000001;18087;DUN-SUR-AURON;;0;;7;180001158;1;1;8;R;DE L'ERMITAGE;;18130;DUN SUR AURON;;;;;;;;;;;;;;;;;;;261803654;26180365400035;;;;0;;;;;;;;;
ID;2013;180008278;HAD FRANCE - BERRY;;750047367;09;75;2;127;PLU10;0;3;5;0;49982497700049;24;18;24S0000001;18279;VIERZON;;;;6;;1;1;27;R;Léo Mérigot;;18100;VIERZON;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;180008476;CENTRE DE NEPHROLOGIE - UAD;;330057597;07;75;2;146;PLU5;0;4;5;0;43254564800045;24;18;24S0000001;18015;AUBIGNY-SUR-NERE;;0;;6;330057597;1;1;;R;DES FOULONS;;18700;AUBIGNY SUR NERE;;1;443357702;AVITUM FRANCE;;;;;;;;;;;;;;;432545648;;;;;0;;;;;;;;;
ID;2013;180009177;CHATEAU DES GADEAUX - CH BOURGES;;180000028;04;13;1;355;PUB2;1;0;;0;26180007200124;24;18;24S0000001;18033;BOURGES;;0;;7;180000028;2;1;145;AV;FRANCOIS MITTERRAND;CS 30 010;18020;BOURGES CEDEX;;;;;;;;;;;;;;;;;;;;26180007200124;;;;0;;;;;;;;;
ID;2013;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;;190000042;04;13;1;355;PUB2;1;0;;0;26190310800015;74;19;74S0000001;19031;BRIVE-LA-GAILLARDE;;0;;6;190000042;1;1;1;BD;DR VERLHAC;CS 70432;19312;BRIVE LA GAILLARDE CEDEX;;;;;;;;;;;;;;;;;;;261903108;26190310800015;;;0;0;;;;;;;;;
ID;2013;190000026;CENTRE HOSPITALIER TULLE;;190000059;04;13;1;355;PUB2;1;0;;0;26192720600019;74;19;74S0000001;19272;TULLE;;0;;6;190000059;1;1;3;PL;DOCTEUR MASCHAT;BP 160;19012;TULLE CEDEX;;;;;;;;;;;;;;;;;;;261927206;26192720600019;;;;0;;;;;;;;;
ID;2013;190000034;CENTRE HOSPITALIER DE BORT LES ORGUES;;190000067;04;13;1;106;PUB2;1;0;;0;26190280300012;74;19;74S0000001;19028;BORT-LES-ORGUES;;0;;6;190000067;1;1;190;R;GUSTAVE PARRE;;19110;BORT LES ORGUES;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;190000091;CENTRE HOSPITALIER D'USSEL;;190000075;04;13;1;355;PUB2;1;0;;0;26192750300019;74;19;74S0000001;19275;USSEL;;0;;6;190000075;1;1;2;AV;DOCTEUR ROULLET;BP 55;19208;USSEL CEDEX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;190000117;ASSO CENTRE HOSP PAYS EYGURANDE;;;05;60;3;292;PNL3;6;9;1;1;775566847;74;19;74S0000001;19141;MONESTIER-MERLINES;;0;;6;;1;1;;;;;19340;MONESTIER MERLINES;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;190000224;CENTRE MEDICO-CHIR LES CEDRES BRIVE;;190000901;09;73;2;365;PLU4;0;4;5;0;67722040200015;74;19;74S0000001;19031;BRIVE-LA-GAILLARDE;;0;;6;;2;1;;IMP;LES CEDRES;;19316;BRIVE LA GAILLARDE CEDEX;;1;429237084;VEDICI SAS;;;;;;;;;;;;;;;677220402;67722040200015;;;0;0;;;;;;;;;
ID;2013;190000257;CLINIQUE  SAINT-GERMAIN  BRIVE;;190001131;09;73;2;365;PLU4;0;4;5;0;67582018700010;74;19;74S0000001;19031;BRIVE-LA-GAILLARDE;;0;;6;;2;1;12;BD;PAINLEVE;;19316;BRIVE LA GAILLARDE CEDEX;;0;;;;;;;;;;;;;;;;;675820187;67582018700010;;;0;0;;;;;;;;;
ID;2013;190002493;CONVALESCENCE CURE READAPT. DU CHANDOU;;190000059;04;13;1;355;PUB2;1;0;;0;26192720600043;74;19;74S0000001;19272;TULLE;;0;;6;190000059;1;1;;LD;LE CHANDOU;;19000;TULLE;CENTRE HOSPITALIER DE TULLE;;;;;;;;;;;;;;;;;;261927206;26192720600019;;;;0;;;;;;;;;
ID;2013;190005140;USLD ALEXIS BOYER D'UZERCHE;;190002485;04;13;1;362;PUB9;1;0;;0;26192760200043;74;19;74S0000001;19276;UZERCHE;;0;;6;190002485;1;1;;R;RAYMOND SIDOIS;BP 7;19140;UZERCHE;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;190005165;UNITE DE SOINS LONGUE DUREE DE CORNIL;EHPAD;190002519;04;11;1;362;PUB9;1;0;;0;26190610100058;74;19;74S0000001;19061;CORNIL;;0;;6;190002519;1;1;32;;GRAND'RUE;;19150;CORNIL;;;;;190002113;EHPAD;190011783;EHPAD REQUALIFIE;;;;;;;;;;;261906101;26190610100033;;;0;0;;;;;;;;;
ID;2013;190005694;CLINIQUE ST JEAN LEZ CEDRES;;920000395;09;73;2;109;PLU10;0;4;5;0;34117411800875;74;19;74S0000001;19031;BRIVE-LA-GAILLARDE;;0;;6;;1;1;;IMP;DES CEDRES;;19100;BRIVE LA GAILLARDE;;0;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;
ID;2013;190010512;UNITE DE DIALYSE USSEL;;870000700;07;60;3;146;PNL5;6;4;1;0;31273236500043;74;19;74S0000001;19275;USSEL;;0;;6;870000700;1;1;2;AV;DU DOCTEUR ROULLET;;19200;USSEL;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;190010553;CENTRE DE DIALYSE BRIVE TRIANGLE;;870000700;07;60;3;141;PNL5;6;4;1;0;31273236500092;74;19;74S0000001;19031;BRIVE-LA-GAILLARDE;;0;;6;870000700;1;1;1;BD;DOCTEUR VERLHAC;;19100;BRIVE LA GAILLARDE;CH BRIVE;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;190010629;HAD RELAIS SANTE Oncorese;;190010579;09;60;3;127;PNL10;7;4;1;0;42878365800027;74;19;74S0000001;19031;BRIVE-LA-GAILLARDE;;;;6;;1;1;;BD;DU DOCTEUR VERLHAC;CH BRIVE - PAVILLON MARION;19100;BRIVE LA GAILLARDE;;;;;;;;;;;;;;;;;;;428783658;42878365800027;;;0;0;;;;;;;;;
ID;2013;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;;190000059;04;13;1;355;PUB2;1;0;;0;26192720600159;74;19;74S0000001;19272;TULLE;;0;;6;190000059;1;1;;;;LE CHANDOU;19000;TULLE;;;;;;;;;;;;;;;;;;;261927206;26192720600019;;;;0;;;;;;;;;
ID;2013;190011601;SITE SPECIALISE HENRI LABORIT;;190000042;14;13;1;355;PUB2;1;0;;0;26190310800197;74;19;74S0000001;19031;BRIVE-LA-GAILLARDE;;0;;6;190000042;1;1;1;R;FILLIOL;;19100;BRIVE LA GAILLARDE;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210001483;AIDER BOURGOGNE- AUTODIALYSE CHATILLON;;670005834;07;63;3;146;PNL5;6;4;0;0;35198270700256;26;21;26S0000001;21154;CHATILLON-SUR-SEINE;;0;;6;670005834;1;1;;R;CLAUDE PETIET;BP 111;21400;CHATILLON SUR SEINE;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210001889;CENTRE D'HEMODIALYSE CHRONIQUE;;670005834;07;63;3;141;PNL5;6;4;0;0;35198270700363;26;21;26S0000001;21231;DIJON;;0;;6;670005834;1;1;7;R;DES PRINCES DE CONDE;;21000;DIJON;CLINIQUE DREVON;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210001939;ESPACE DE LA BREUCHILLIÈRE;;670005834;07;63;3;146;PNL5;6;4;1;0;35198270700355;26;21;26S0000001;21231;DIJON;;0;;6;670005834;1;1;14;R;DE LA BREUCHILLIÈRE;;21000;DIJON;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210003059;HAD FEDOSAD 21;SERVICE HAD DE LA FEDOSAD;210987400;09;60;3;127;PNL10;7;4;0;0;77821402300138;26;21;26S0000001;21278;FONTAINE-LES-DIJON;;0;;6;;1;1;15/17;AV;Jean BERTIN;CS 57265;21072;DIJON CEDEX;;0;;;210983995;Service de Soins Infirmiers à Domicile;210010252;Appartement de Coordination Thérapeutique;;;;;;;;;;;;;;;0;0;;;;;;;;;
ID;2013;210005559;CTRE D'ONCOLOGIE RADIOTHERAPIE ALTWEGG;;210010773;18;79;2;699;PLU10;0;5;0;0;33031644900017;26;21;26S0000001;21231;DIJON;;0;;6;210010773;1;1;18;;COURS GENERAL DE GAULLE;;21000;DIJON;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210006318;CLINIQUE CLEMENT DREVON;;210006268;09;75;2;365;PLU4;0;4;5;0;49947326200016;26;21;26S0000001;21231;DIJON;;0;;6;;2;1;7;R;DES PRINCES DE CONDE;BP 17626;21076;DIJON;;1;351982707;FDTSSV;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210007399;SARL JOUVENCE NUTRITION;;210007308;09;72;2;109;PLU10;0;4;5;0;49864933400022;26;21;26S0000001;21408;MESSIGNY-ET-VANTOUX;;0;;6;;1;1;18;R;DES ALISIERS;;21380;MESSIGNY ET VANTOUX;;0;;;;;;;;;;;;;;;;;498649334;;;;0;0;;;;;;;;;
ID;2013;210007555;APPARTEMENT AIDER SAULIEU;CENTRE HOSPITALIER;670005834;07;63;3;146;PNL5;6;4;0;0;35198270700264;26;21;26S0000001;21584;SAULIEU;;0;;6;670005834;1;1;2;R;COURTEPEE;;21210;SAULIEU;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210010443;CSSR -LE RENOUVEAU-;;210000337;09;60;3;109;PNL10;7;4;1;0;77819297100043;26;21;26S0000001;21231;DIJON;;0;;6;;1;1;31;R;MARCEAU;;21000;DIJON;;0;;;;;;;;;;;;;;;;;778192971;77819297100043;;;0;0;;;;;;;;;
ID;2013;210010484;FONDATION TRANSPLANTATION DÉLÉG. AIDER;;670005834;07;63;3;146;PNL5;6;4;1;0;35198270700298;26;21;26S0000001;21540;SAINT-APOLLINAIRE;;0;;6;670005834;1;1;4;R;DE LA BROT;;21850;ST APOLLINAIRE;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210011847;POLYCLINIQUE DU PARC DREVON;POLYCLINIQUE DU PARC DREVON;210011839;09;75;2;365;PLU4;0;4;5;0;79175212400028;26;21;26S0000001;21231;DIJON;;0;;6;;2;1;7;R;DES PRINCES DE CONDE;;21000;DIJON;;1;528147739;GROUPE AVENIR SANTE;;;;;;;;;;;;;;;791752124;;;;0;1;1;;;;;;;;
ID;2013;210780110;CLINIQUE SAINTE MARTHE DIJON;;210000022;09;73;2;365;PLU4;0;4;5;0;77820791000010;26;21;26S0000001;21231;DIJON;;0;;5;;2;1;56;R;DE LA PREFECTURE;BP 92751;21027;DIJON;;1;383699048;GENERALE DE SANTE;;;;;;;;;;;;;;;;77820791000010;;;0;0;;;;;;;;;
ID;2013;210780136;CLINIQUE MEDICO CHIRURGICALE CHENOVE;;210000030;09;73;2;365;PLU4;0;4;5;0;01675014300014;26;21;26S0000001;21166;CHENOVE;;0;;6;;2;1;42;BD;HENRI BAZIN;;21300;CHENOVE;;1;383699048;GENERALE DE SANTE;;;;;;;;;;;;;;;;01675014300014;;;0;0;;;;;;;;;
ID;2013;210780144;CRF DIVIO DIJON;;750721235;09;60;3;109;PNL10;7;4;1;0;77565757000070;26;21;26S0000001;21231;DIJON;;0;;6;;1;1;12;R;ST VINCENT DE PAUL;;21000;DIJON;;1;775657570;CENTRE D'ORIENTATION SOCIALE;;;;;;;;;;;;;;;775657570;77565757000070;;;0;0;;;;;;;;;
ID;2013;210780276;CLINIQUE BENIGNE JOLY;SSR EDITH CAVELL - POLE SANTE VALMY;210003208;09;75;2;109;PLU10;0;4;5;0;45136355000034;26;21;26S0000001;21617;TALANT;;0;;6;;1;1;27;AV;FRANCOISE GIROUD;PARC VALMY;21000;DIJON;;0;;;;;;;;;;;;;;;;;451363550;45136355000018;45136355000034;;0;0;;;;;;;;;
ID;2013;210780292;CLINIQUE MÉDECINE PHYSIQUE LES ROSIERS;;210000105;09;73;2;109;PLU10;0;4;5;0;01715053300010;26;21;26S0000001;21231;DIJON;;0;;6;;1;1;45;BD;HENRI BAZIN;BP 60244;21002;DIJON CEDEX;;1;383699048;GENERALE DE SANTE;;;;;;;;;;;;;;;017150533;;;;0;0;;;;;;;;;
ID;2013;210780425;HÔPITAL DE JOUR PEDOPSYCHIATRIQUE;;210000139;15;60;3;161;PNL7;7;1;0;0;34845806800015;26;21;26S0000001;21166;CHENOVE;;0;;6;;1;1;55;R;DU 11 SEPTEMBRE;;21300;CHENOVE;;0;;;;;;;;;;;;;;;;;348458068;34845806800015;;;0;0;;;;;;;;;
ID;2013;210780789;CLINIQUE MUTUALISTE BÉNIGNE JOLY;;210003208;09;75;2;365;PLU4;0;4;5;0;45136355000018;26;21;26S0000001;21617;TALANT;;0;;6;;2;1;;ALL;ROGER RENARD;B.P.39;21240;TALANT;;0;;;;;;;;;;;;;;;;;451363550;45136355000018;;;0;0;;;;;;;;;
ID;2013;210780979;CLINIQUE FONTAINE-LES-DIJON;;210000295;09;73;2;365;PLU4;0;4;5;0;01575018500025;26;21;26S0000001;21278;FONTAINE-LES-DIJON;;0;;5;;2;1;1;R;DES CRÉOTS;;21121;FONTAINE LES DIJON;;1;383699048;GENERALE DE SANTE;;;;;;;;;;;;;;;;01575018500025;;;0;0;;;;;;;;;
ID;2013;210781621;HOPITAL GÉNÉRAL CHU DIJON;;210780581;04;13;1;101;PUB1;1;0;;0;26210007600062;26;21;26S0000001;21231;DIJON;;0;;7;210780581;2;1;3;R;DU FAUBOURG RAINES;;21033;DIJON CEDEX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210983466;USLD ALISE-STE-REYNE CHAM;;210011482;04;14;1;362;PUB9;1;0;;0;20003025200155;26;21;26S0000001;21008;ALISE-SAINTE-REINE;;0;;7;210011482;2;1;1;;CHEMIN DES BAINS;;21150;ALISE STE REINE;;;;;210987681;CHAM SAULIEU C.H AUXOIS-MORVAN;210983565;USLD SAULIEU CHAM;210987608;MEDECINE VITTEAUX CHAM;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210983565;USLD SAULIEU CHAM;;210011482;04;14;1;362;PUB9;1;0;;0;20003025200163;26;21;26S0000001;21584;SAULIEU;;0;;7;210011482;2;1;2;R;COURTEPEE;;21210;SAULIEU;;;;;210987681;CHAM SAULIEU C.H AUXOIS-MORVAN;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210986089;MÉDECINE À CHAMPMAILLOT CHU DIJON;;210780581;04;13;1;101;PUB1;1;0;;0;26210007600070;26;21;26S0000001;21231;DIJON;;0;;7;210780581;2;1;2;R;JULES VIOLLE;BP 87909;21079;DIJON cedex;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210986329;USLD DIJON RES. N D DE LA VISITATION;;750043713;09;60;3;362;PNL9;6;1;1;0;30057025600077;26;21;26S0000001;21231;DIJON;;0;;6;;1;1;6;R;CREBILLON;BP 62757;21027;DIJON CEDEX;;0;;;;;;;;;;;;;;;;;300570256;30057025600077;;;0;0;;;;;;;;;
ID;2013;210986360;AUTODIALYSE AIDER  DIJON- BOCAGE;SERVICE ENTRAINEMENT;670005834;07;63;3;146;PNL5;6;4;1;0;35198270700272;26;21;26S0000001;21231;DIJON;;0;;6;670005834;1;1;;R;GAFFAREL;;21033;DIJON CEDEX;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210986378;AIDER BOURGOGNE;RÉSIDENCE SAINT-ÉTIENNE;670005834;07;63;3;146;PNL5;6;4;1;0;35198270700280;26;21;26S0000001;21231;DIJON;;0;;6;670005834;1;1;5;R;LEGOUZ GERLAND;;21000;DIJON;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210986725;MAISON CONVALESCENCE -LA FOUGÈRE-;;210986717;09;75;2;109;PLU10;0;4;5;0;32548472300029;26;21;26S0000001;21710;VITTEAUX;;0;;6;;1;1;12;CHE;DE CHAUMONT;;21350;VITTEAUX;;0;;;;;;;;;;;;;;;;;325484723;32548472300029;;;0;0;;;;;;;;;
ID;2013;210986741;ETAB. CONVALESCENCE MAISON DE JOUVENCE;;210986733;09;73;2;109;PLU10;0;4;5;0;38351375100024;26;21;26S0000001;21408;MESSIGNY-ET-VANTOUX;;0;;6;;1;1;20;R;DES ALISIERS;;21380;MESSIGNY ET VANTOUX;;0;;;;;;;;;;;;;;;;;;38351375100024;;;0;0;;;;;;;;;
ID;2013;210987046;CTRE CONVALESCENCE GERIATRIQUE;;210987038;09;73;2;109;PLU10;0;4;5;0;39261598500026;26;21;26S0000001;21278;FONTAINE-LES-DIJON;;0;;6;;1;1;67;RTE;D'AHUY;;21121;FONTAINE LES DIJON;;0;;;;;;;;;;;;;;;;;;39261598500026;;;0;0;;;;;;;;;
ID;2013;210987558;HÔPITAL LE BOCAGE CHU DIJON;;210780581;04;13;1;101;PUB1;1;0;;0;26210007600013;26;21;26S0000001;21231;DIJON;;0;;7;210780581;2;1;2;BD;Mal de Lattre de Tassigny;BP 77908;21079;DIJON CEDEX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210987574;HÔPITAL LOCAL ARNAY-LE-DUC;;210780623;04;13;1;106;PUB2;1;0;;0;26210121500016;26;21;26S0000001;21023;ARNAY-LE-DUC;;0;;7;210780623;1;1;3;R;DES CAPUCINS;BP 49;21230;ARNAY LE DUC;;;;;;;;;;;;;;;;;;;262101215;26210121500016;;;0;0;;;;;;;;;
ID;2013;210987582;CENTRE HOSPITALIER IS-SUR-TILLE;;210780631;04;13;1;106;PUB2;1;0;;0;26210008400017;26;21;26S0000001;21317;IS-SUR-TILLE;;;;7;210780631;1;1;21;R;VICTOR HUGO;BP 20;21120;IS SUR TILLE;;;;;;;;;;;;;;;;;;;262100084;26210008400017;;;0;0;;;;;;;;;
ID;2013;210987590;CENTRE HOSPITALIER DE  NUITS-ST-GEORGES;;210780649;04;13;1;106;PUB2;1;0;;0;26210014200013;26;21;26S0000001;21464;NUITS-SAINT-GEORGES;;0;;7;210780649;1;1;6;R;HENRI CHALLAND;BP 30089;21703;NUITS ST GEORGES CEDEX;;;;;;;;;;;;;;;;;;;262100142;;;;0;0;;;;;;;;;
ID;2013;210987608;CENTRE HOSPITALIER Vitteaux AUXOIS MORVAN;Site de Vitteaux;210011482;04;14;1;106;PUB2;1;0;;0;20003025200015;26;21;26S0000001;21710;VITTEAUX;;0;;7;210011482;2;1;7;R;GUENIOT;;21350;VITTEAUX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210987616;CENTRE HOSPITALIER SEURRE;;210780656;04;13;1;106;PUB2;1;0;;0;26210019100010;26;21;26S0000001;21607;SEURRE;;0;;7;210780656;1;1;14;RUE;DU FAUBOURG ST GEORGES;;21250;SEURRE;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210987632;CH LA CHARTREUSE DIJON;;210780607;14;11;1;292;PUB3;1;0;;0;26210006800010;26;21;26S0000001;21231;DIJON;;0;;7;210780607;1;1;1;BLD;CHANOINE KIR;BP 23314;21033;DIJON CEDEX;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
ID;2013;210987640;CENTRE HOSPITALIER D'AUXONNE;;210780672;04;13;1;106;PUB2;1;0;;0;26210002700016;26;21;26S0000001;21038;AUXONNE;;0;;7;210780672;1;1;5;R;DU CHÂTEAU;;21130;AUXONNE;;;;;;;;;;;;;;;;;;;;26210002700016;;;0;0;;;;;;;;;
